"YahooSymbol","PriceDate","Close"
"MRT-UN.TO","29-07-15",16.35
"MRT-UN.TO","30-07-15",16.21
"MRT-UN.TO","31-07-15",16.43
"MRT-UN.TO","03-08-15",16.43
"MRT-UN.TO","04-08-15",16.25
"MRT-UN.TO","05-08-15",16.18
"MRT-UN.TO","06-08-15",15.16
"MRT-UN.TO","07-08-15",15.23
"MRT-UN.TO","10-08-15",15.4
"MRT-UN.TO","11-08-15",15.45
"MRT-UN.TO","12-08-15",15.48
"MRT-UN.TO","13-08-15",15.32
"MRT-UN.TO","14-08-15",15.26
"MRT-UN.TO","17-08-15",15.12
"MRT-UN.TO","18-08-15",15.15
"MRT-UN.TO","19-08-15",15.18
"MRT-UN.TO","20-08-15",15.13
"MRT-UN.TO","21-08-15",14.26
"MRT-UN.TO","24-08-15",14.39
"MRT-UN.TO","25-08-15",14.03
"MRT-UN.TO","26-08-15",14.34
"MRT-UN.TO","27-08-15",14.19
"MRT-UN.TO","28-08-15",14.38
"MRT-UN.TO","31-08-15",14.46
"MRT-UN.TO","01-09-15",14.26
"MRT-UN.TO","02-09-15",14.02
"MRT-UN.TO","03-09-15",13.93
"MRT-UN.TO","04-09-15",13.59
"MRT-UN.TO","08-09-15",13.42
"MRT-UN.TO","09-09-15",13.49
"MRT-UN.TO","10-09-15",13.6
"MRT-UN.TO","11-09-15",13.31
"MRT-UN.TO","14-09-15",12.87
"MRT-UN.TO","15-09-15",12.75
"MRT-UN.TO","16-09-15",12.71
"MRT-UN.TO","17-09-15",13.05
"MRT-UN.TO","18-09-15",13.65
"MRT-UN.TO","21-09-15",13.75
"MRT-UN.TO","22-09-15",13.78
"MRT-UN.TO","23-09-15",13.68
"MRT-UN.TO","24-09-15",13.46
"MRT-UN.TO","25-09-15",13.67
"MRT-UN.TO","28-09-15",13.5
"MRT-UN.TO","29-09-15",13.55
"MRT-UN.TO","30-09-15",13.67
"MRT-UN.TO","01-10-15",13.72
"MRT-UN.TO","02-10-15",13.77
"MRT-UN.TO","05-10-15",13.85
"MRT-UN.TO","06-10-15",13.75
"MRT-UN.TO","07-10-15",13.85
"MRT-UN.TO","08-10-15",14
"MRT-UN.TO","09-10-15",14.09
"MRT-UN.TO","12-10-15",14.09
"MRT-UN.TO","13-10-15",14.11
"MRT-UN.TO","14-10-15",14.18
"MRT-UN.TO","15-10-15",14.5
"MRT-UN.TO","16-10-15",14.6
"MRT-UN.TO","19-10-15",15.3
"MRT-UN.TO","20-10-15",15.01
"MRT-UN.TO","21-10-15",14.81
"MRT-UN.TO","22-10-15",15.05
"MRT-UN.TO","23-10-15",15.05
"MRT-UN.TO","26-10-15",14.66
"MRT-UN.TO","27-10-15",14.58
"MRT-UN.TO","28-10-15",14.36
"MRT-UN.TO","29-10-15",14.34
"MRT-UN.TO","30-10-15",14.45
"MRT-UN.TO","02-11-15",14.29
"MRT-UN.TO","03-11-15",14.13
"MRT-UN.TO","04-11-15",14.23
"MRT-UN.TO","05-11-15",14.28
"MRT-UN.TO","06-11-15",14.43
"MRT-UN.TO","09-11-15",14.14
"MRT-UN.TO","10-11-15",13.92
"MRT-UN.TO","11-11-15",13.71
"MRT-UN.TO","12-11-15",13.67
"MRT-UN.TO","13-11-15",13.825
"MRT-UN.TO","16-11-15",14.02
"MRT-UN.TO","17-11-15",14.13
"MRT-UN.TO","18-11-15",14.15
"MRT-UN.TO","19-11-15",14.22
"MRT-UN.TO","20-11-15",14.42
"MRT-UN.TO","23-11-15",13.99
"MRT-UN.TO","24-11-15",14.09
"MRT-UN.TO","25-11-15",14.02
"MRT-UN.TO","26-11-15",13.91
"MRT-UN.TO","27-11-15",14.15
"MRT-UN.TO","30-11-15",14.15
"MRT-UN.TO","01-12-15",14.12
"MRT-UN.TO","02-12-15",14.15
"MRT-UN.TO","03-12-15",14.01
"MRT-UN.TO","04-12-15",13.79
"MRT-UN.TO","07-12-15",13.75
"MRT-UN.TO","08-12-15",13.61
"MRT-UN.TO","09-12-15",13.39
"MRT-UN.TO","10-12-15",13.35
"MRT-UN.TO","11-12-15",13.24
"MRT-UN.TO","14-12-15",12.8
"MRT-UN.TO","15-12-15",13.13
"MRT-UN.TO","16-12-15",13.26
"MRT-UN.TO","17-12-15",13.3
"MRT-UN.TO","18-12-15",12.97
"MRT-UN.TO","21-12-15",13.51
"MRT-UN.TO","22-12-15",13.81
"MRT-UN.TO","23-12-15",13.62
"MRT-UN.TO","24-12-15",13.81
"MRT-UN.TO","28-12-15",14.02
"MRT-UN.TO","29-12-15",14.02
"MRT-UN.TO","30-12-15",13.88
"MRT-UN.TO","31-12-15",13.62
"MRU.TO","02-01-15",30.9633
"MRU.TO","05-01-15",30.31
"MRU.TO","06-01-15",29.98
"MRU.TO","07-01-15",30.2667
"MRU.TO","08-01-15",30.5433
"MRU.TO","09-01-15",30.22
"MRU.TO","12-01-15",30.5167
"MRU.TO","13-01-15",31.01
"MRU.TO","14-01-15",30.78
"MRU.TO","15-01-15",30.8633
"MRU.TO","16-01-15",30.9367
"MRU.TO","19-01-15",30.9267
"MRU.TO","20-01-15",30.7067
"MRU.TO","21-01-15",31.5867
"MRU.TO","22-01-15",32.4
"MRU.TO","23-01-15",32.29
"MRU.TO","26-01-15",32.42
"MRU.TO","27-01-15",33.75
"MRU.TO","28-01-15",33.4767
"MRU.TO","29-01-15",33.7333
"MRU.TO","30-01-15",33.52
"MRU.TO","02-02-15",34.58
"MRU.TO","03-02-15",34.4167
"MRU.TO","04-02-15",34.69
"MRU.TO","05-02-15",34.1167
"MRU.TO","06-02-15",33.84
"MRU.TO","09-02-15",34
"MRU.TO","10-02-15",33.9467
"MRU.TO","11-02-15",34.7667
"MRU.TO","12-02-15",35.22
"MRU.TO","13-02-15",34.56
"MRU.TO","17-02-15",34.97
"MRU.TO","18-02-15",35.05
"MRU.TO","19-02-15",35.1
"MRU.TO","20-02-15",35.15
"MRU.TO","23-02-15",35.4
"MRU.TO","24-02-15",35.99
"MRU.TO","25-02-15",35.72
"MRU.TO","26-02-15",35.38
"MRU.TO","27-02-15",34.72
"MRU.TO","02-03-15",35.35
"MRU.TO","03-03-15",35.06
"MRU.TO","04-03-15",34.85
"MRU.TO","05-03-15",34.92
"MRU.TO","06-03-15",34.5
"MRU.TO","09-03-15",34.7
"MRU.TO","10-03-15",34.77
"MRU.TO","11-03-15",34.53
"MRU.TO","12-03-15",34.37
"MRU.TO","13-03-15",34.32
"MRU.TO","16-03-15",34.82
"MRU.TO","17-03-15",34.59
"MRU.TO","18-03-15",34.71
"MRU.TO","19-03-15",34.32
"MRU.TO","20-03-15",34.36
"MRU.TO","23-03-15",34.19
"MRU.TO","24-03-15",35.08
"MRU.TO","25-03-15",34.77
"MRU.TO","26-03-15",34.59
"MRU.TO","27-03-15",34.38
